datetime,changepoint,source_group,source_file
2020-03-09 16:22:22,0.0,valve2,1.csv
2020-03-09 16:22:23,0.0,valve2,1.csv
2020-03-09 16:22:24,0.0,valve2,1.csv
2020-03-09 16:22:25,0.0,valve2,1.csv
2020-03-09 16:22:27,0.0,valve2,1.csv
2020-03-09 16:22:28,0.0,valve2,1.csv
2020-03-09 16:22:29,0.0,valve2,1.csv
2020-03-09 16:22:30,0.0,valve2,1.csv
2020-03-09 16:22:31,0.0,valve2,1.csv
2020-03-09 16:22:32,0.0,valve2,1.csv
2020-03-09 16:22:33,0.0,valve2,1.csv
2020-03-09 16:22:34,0.0,valve2,1.csv
2020-03-09 16:22:35,0.0,valve2,1.csv
2020-03-09 16:22:36,0.0,valve2,1.csv
2020-03-09 16:22:37,0.0,valve2,1.csv
2020-03-09 16:22:39,0.0,valve2,1.csv
2020-03-09 16:22:40,0.0,valve2,1.csv
2020-03-09 16:22:41,0.0,valve2,1.csv
2020-03-09 16:22:42,0.0,valve2,1.csv
2020-03-09 16:22:43,0.0,valve2,1.csv
2020-03-09 16:22:44,0.0,valve2,1.csv
2020-03-09 16:22:45,0.0,valve2,1.csv
2020-03-09 16:22:46,0.0,valve2,1.csv
2020-03-09 16:22:47,0.0,valve2,1.csv
2020-03-09 16:22:48,0.0,valve2,1.csv
2020-03-09 16:22:49,0.0,valve2,1.csv
2020-03-09 16:22:50,0.0,valve2,1.csv
2020-03-09 16:22:51,0.0,valve2,1.csv
2020-03-09 16:22:53,0.0,valve2,1.csv
2020-03-09 16:22:54,0.0,valve2,1.csv
2020-03-09 16:22:55,0.0,valve2,1.csv
2020-03-09 16:22:56,0.0,valve2,1.csv
2020-03-09 16:22:57,0.0,valve2,1.csv
2020-03-09 16:22:58,0.0,valve2,1.csv
2020-03-09 16:22:59,0.0,valve2,1.csv
2020-03-09 16:23:00,0.0,valve2,1.csv
2020-03-09 16:23:01,0.0,valve2,1.csv
2020-03-09 16:23:02,0.0,valve2,1.csv
2020-03-09 16:23:03,0.0,valve2,1.csv
2020-03-09 16:23:04,0.0,valve2,1.csv
2020-03-09 16:23:05,0.0,valve2,1.csv
2020-03-09 16:23:07,0.0,valve2,1.csv
2020-03-09 16:23:08,0.0,valve2,1.csv
2020-03-09 16:23:09,0.0,valve2,1.csv
2020-03-09 16:23:10,0.0,valve2,1.csv
2020-03-09 16:23:11,0.0,valve2,1.csv
2020-03-09 16:23:12,0.0,valve2,1.csv
2020-03-09 16:23:13,0.0,valve2,1.csv
2020-03-09 16:23:14,0.0,valve2,1.csv
2020-03-09 16:23:15,0.0,valve2,1.csv
2020-03-09 16:23:16,0.0,valve2,1.csv
2020-03-09 16:23:17,0.0,valve2,1.csv
2020-03-09 16:23:18,0.0,valve2,1.csv
2020-03-09 16:23:20,0.0,valve2,1.csv
2020-03-09 16:23:21,0.0,valve2,1.csv
2020-03-09 16:23:22,0.0,valve2,1.csv
2020-03-09 16:23:23,0.0,valve2,1.csv
2020-03-09 16:23:24,0.0,valve2,1.csv
2020-03-09 16:23:25,0.0,valve2,1.csv
2020-03-09 16:23:26,0.0,valve2,1.csv
2020-03-09 16:23:27,0.0,valve2,1.csv
2020-03-09 16:23:28,0.0,valve2,1.csv
2020-03-09 16:23:29,0.0,valve2,1.csv
2020-03-09 16:23:30,0.0,valve2,1.csv
2020-03-09 16:23:31,0.0,valve2,1.csv
2020-03-09 16:23:32,0.0,valve2,1.csv
2020-03-09 16:23:34,0.0,valve2,1.csv
2020-03-09 16:23:35,0.0,valve2,1.csv
2020-03-09 16:23:36,0.0,valve2,1.csv
2020-03-09 16:23:37,0.0,valve2,1.csv
2020-03-09 16:23:38,0.0,valve2,1.csv
2020-03-09 16:23:39,0.0,valve2,1.csv
2020-03-09 16:23:40,0.0,valve2,1.csv
2020-03-09 16:23:41,0.0,valve2,1.csv
2020-03-09 16:23:42,0.0,valve2,1.csv
2020-03-09 16:23:43,0.0,valve2,1.csv
2020-03-09 16:23:44,0.0,valve2,1.csv
2020-03-09 16:23:45,0.0,valve2,1.csv
2020-03-09 16:23:46,0.0,valve2,1.csv
2020-03-09 16:23:47,0.0,valve2,1.csv
2020-03-09 16:23:48,0.0,valve2,1.csv
2020-03-09 16:23:49,0.0,valve2,1.csv
2020-03-09 16:23:50,0.0,valve2,1.csv
2020-03-09 16:23:52,0.0,valve2,1.csv
2020-03-09 16:23:53,0.0,valve2,1.csv
2020-03-09 16:23:54,0.0,valve2,1.csv
2020-03-09 16:23:55,0.0,valve2,1.csv
2020-03-09 16:23:56,0.0,valve2,1.csv
2020-03-09 16:23:57,0.0,valve2,1.csv
2020-03-09 16:23:58,0.0,valve2,1.csv
2020-03-09 16:23:59,0.0,valve2,1.csv
2020-03-09 16:24:00,0.0,valve2,1.csv
2020-03-09 16:24:01,0.0,valve2,1.csv
2020-03-09 16:24:02,0.0,valve2,1.csv
2020-03-09 16:24:03,0.0,valve2,1.csv
2020-03-09 16:24:04,0.0,valve2,1.csv
2020-03-09 16:24:05,0.0,valve2,1.csv
2020-03-09 16:24:06,0.0,valve2,1.csv
2020-03-09 16:24:07,0.0,valve2,1.csv
2020-03-09 16:24:08,0.0,valve2,1.csv
2020-03-09 16:24:09,0.0,valve2,1.csv
2020-03-09 16:24:11,0.0,valve2,1.csv
2020-03-09 16:24:12,0.0,valve2,1.csv
2020-03-09 16:24:13,0.0,valve2,1.csv
2020-03-09 16:24:14,0.0,valve2,1.csv
2020-03-09 16:24:15,0.0,valve2,1.csv
2020-03-09 16:24:16,0.0,valve2,1.csv
2020-03-09 16:24:17,0.0,valve2,1.csv
2020-03-09 16:24:18,0.0,valve2,1.csv
2020-03-09 16:24:19,0.0,valve2,1.csv
2020-03-09 16:24:20,0.0,valve2,1.csv
2020-03-09 16:24:21,0.0,valve2,1.csv
2020-03-09 16:24:22,0.0,valve2,1.csv
2020-03-09 16:24:23,0.0,valve2,1.csv
2020-03-09 16:24:25,0.0,valve2,1.csv
2020-03-09 16:24:26,0.0,valve2,1.csv
2020-03-09 16:24:27,0.0,valve2,1.csv
2020-03-09 16:24:28,0.0,valve2,1.csv
2020-03-09 16:24:29,0.0,valve2,1.csv
2020-03-09 16:24:30,0.0,valve2,1.csv
2020-03-09 16:24:31,0.0,valve2,1.csv
2020-03-09 16:24:32,0.0,valve2,1.csv
2020-03-09 16:24:33,0.0,valve2,1.csv
2020-03-09 16:24:34,0.0,valve2,1.csv
2020-03-09 16:24:35,0.0,valve2,1.csv
2020-03-09 16:24:37,0.0,valve2,1.csv
2020-03-09 16:24:38,0.0,valve2,1.csv
2020-03-09 16:24:39,0.0,valve2,1.csv
2020-03-09 16:24:40,0.0,valve2,1.csv
2020-03-09 16:24:41,0.0,valve2,1.csv
2020-03-09 16:24:42,0.0,valve2,1.csv
2020-03-09 16:24:43,0.0,valve2,1.csv
2020-03-09 16:24:44,0.0,valve2,1.csv
2020-03-09 16:24:45,0.0,valve2,1.csv
2020-03-09 16:24:46,0.0,valve2,1.csv
2020-03-09 16:24:47,0.0,valve2,1.csv
2020-03-09 16:24:48,0.0,valve2,1.csv
2020-03-09 16:24:50,0.0,valve2,1.csv
2020-03-09 16:24:51,0.0,valve2,1.csv
2020-03-09 16:24:52,0.0,valve2,1.csv
2020-03-09 16:24:53,0.0,valve2,1.csv
2020-03-09 16:24:54,0.0,valve2,1.csv
2020-03-09 16:24:55,0.0,valve2,1.csv
2020-03-09 16:24:56,0.0,valve2,1.csv
2020-03-09 16:24:57,0.0,valve2,1.csv
2020-03-09 16:24:58,0.0,valve2,1.csv
2020-03-09 16:24:59,0.0,valve2,1.csv
2020-03-09 16:25:00,0.0,valve2,1.csv
2020-03-09 16:25:01,0.0,valve2,1.csv
2020-03-09 16:25:02,0.0,valve2,1.csv
2020-03-09 16:25:04,0.0,valve2,1.csv
2020-03-09 16:25:05,0.0,valve2,1.csv
2020-03-09 16:25:06,0.0,valve2,1.csv
2020-03-09 16:25:07,0.0,valve2,1.csv
2020-03-09 16:25:08,0.0,valve2,1.csv
2020-03-09 16:25:09,0.0,valve2,1.csv
2020-03-09 16:25:10,0.0,valve2,1.csv
2020-03-09 16:25:11,0.0,valve2,1.csv
2020-03-09 16:25:12,0.0,valve2,1.csv
2020-03-09 16:25:13,0.0,valve2,1.csv
2020-03-09 16:25:14,0.0,valve2,1.csv
2020-03-09 16:25:15,0.0,valve2,1.csv
2020-03-09 16:25:17,0.0,valve2,1.csv
2020-03-09 16:25:18,0.0,valve2,1.csv
2020-03-09 16:25:19,0.0,valve2,1.csv
2020-03-09 16:25:20,0.0,valve2,1.csv
2020-03-09 16:25:21,0.0,valve2,1.csv
2020-03-09 16:25:22,0.0,valve2,1.csv
2020-03-09 16:25:23,0.0,valve2,1.csv
2020-03-09 16:25:24,0.0,valve2,1.csv
2020-03-09 16:25:25,0.0,valve2,1.csv
2020-03-09 16:25:26,0.0,valve2,1.csv
2020-03-09 16:25:27,0.0,valve2,1.csv
2020-03-09 16:25:28,0.0,valve2,1.csv
2020-03-09 16:25:30,0.0,valve2,1.csv
2020-03-09 16:25:31,0.0,valve2,1.csv
2020-03-09 16:25:32,0.0,valve2,1.csv
2020-03-09 16:25:33,0.0,valve2,1.csv
2020-03-09 16:25:34,0.0,valve2,1.csv
2020-03-09 16:25:35,0.0,valve2,1.csv
2020-03-09 16:25:36,0.0,valve2,1.csv
2020-03-09 16:25:37,0.0,valve2,1.csv
2020-03-09 16:25:38,0.0,valve2,1.csv
2020-03-09 16:25:39,0.0,valve2,1.csv
2020-03-09 16:25:40,0.0,valve2,1.csv
2020-03-09 16:25:41,0.0,valve2,1.csv
2020-03-09 16:25:42,0.0,valve2,1.csv
2020-03-09 16:25:43,0.0,valve2,1.csv
2020-03-09 16:25:44,0.0,valve2,1.csv
2020-03-09 16:25:45,0.0,valve2,1.csv
2020-03-09 16:25:46,0.0,valve2,1.csv
2020-03-09 16:25:47,0.0,valve2,1.csv
2020-03-09 16:25:49,0.0,valve2,1.csv
2020-03-09 16:25:50,0.0,valve2,1.csv
2020-03-09 16:25:51,0.0,valve2,1.csv
2020-03-09 16:25:52,0.0,valve2,1.csv
2020-03-09 16:25:53,0.0,valve2,1.csv
2020-03-09 16:25:54,0.0,valve2,1.csv
2020-03-09 16:25:55,0.0,valve2,1.csv
2020-03-09 16:25:56,0.0,valve2,1.csv
2020-03-09 16:25:57,0.0,valve2,1.csv
2020-03-09 16:25:58,0.0,valve2,1.csv
2020-03-09 16:26:00,0.0,valve2,1.csv
2020-03-09 16:26:01,0.0,valve2,1.csv
2020-03-09 16:26:02,0.0,valve2,1.csv
2020-03-09 16:26:03,0.0,valve2,1.csv
2020-03-09 16:26:04,0.0,valve2,1.csv
2020-03-09 16:26:05,0.0,valve2,1.csv
2020-03-09 16:26:06,0.0,valve2,1.csv
2020-03-09 16:26:07,0.0,valve2,1.csv
2020-03-09 16:26:08,0.0,valve2,1.csv
2020-03-09 16:26:09,0.0,valve2,1.csv
2020-03-09 16:26:10,0.0,valve2,1.csv
2020-03-09 16:26:11,0.0,valve2,1.csv
2020-03-09 16:26:12,0.0,valve2,1.csv
2020-03-09 16:26:13,0.0,valve2,1.csv
2020-03-09 16:26:14,0.0,valve2,1.csv
2020-03-09 16:26:15,0.0,valve2,1.csv
2020-03-09 16:26:16,0.0,valve2,1.csv
2020-03-09 16:26:17,0.0,valve2,1.csv
2020-03-09 16:26:19,0.0,valve2,1.csv
2020-03-09 16:26:20,0.0,valve2,1.csv
2020-03-09 16:26:21,0.0,valve2,1.csv
2020-03-09 16:26:22,0.0,valve2,1.csv
2020-03-09 16:26:23,0.0,valve2,1.csv
2020-03-09 16:26:24,0.0,valve2,1.csv
2020-03-09 16:26:25,0.0,valve2,1.csv
2020-03-09 16:26:26,0.0,valve2,1.csv
2020-03-09 16:26:27,0.0,valve2,1.csv
2020-03-09 16:26:28,0.0,valve2,1.csv
2020-03-09 16:26:29,0.0,valve2,1.csv
2020-03-09 16:26:30,1.0,valve2,1.csv
2020-03-09 16:26:31,0.0,valve2,1.csv
2020-03-09 16:26:32,0.0,valve2,1.csv
2020-03-09 16:26:33,0.0,valve2,1.csv
2020-03-09 16:26:34,0.0,valve2,1.csv
2020-03-09 16:26:35,0.0,valve2,1.csv
2020-03-09 16:26:36,0.0,valve2,1.csv
2020-03-09 16:26:38,0.0,valve2,1.csv
2020-03-09 16:26:39,0.0,valve2,1.csv
2020-03-09 16:26:40,0.0,valve2,1.csv
2020-03-09 16:26:41,0.0,valve2,1.csv
2020-03-09 16:26:42,0.0,valve2,1.csv
2020-03-09 16:26:43,0.0,valve2,1.csv
2020-03-09 16:26:44,0.0,valve2,1.csv
2020-03-09 16:26:45,0.0,valve2,1.csv
2020-03-09 16:26:46,0.0,valve2,1.csv
2020-03-09 16:26:47,0.0,valve2,1.csv
2020-03-09 16:26:48,0.0,valve2,1.csv
2020-03-09 16:26:49,0.0,valve2,1.csv
2020-03-09 16:26:51,0.0,valve2,1.csv
2020-03-09 16:26:52,0.0,valve2,1.csv
2020-03-09 16:26:53,0.0,valve2,1.csv
2020-03-09 16:26:54,0.0,valve2,1.csv
2020-03-09 16:26:55,0.0,valve2,1.csv
2020-03-09 16:26:56,0.0,valve2,1.csv
2020-03-09 16:26:57,0.0,valve2,1.csv
2020-03-09 16:26:58,0.0,valve2,1.csv
2020-03-09 16:26:59,0.0,valve2,1.csv
2020-03-09 16:27:00,0.0,valve2,1.csv
2020-03-09 16:27:01,0.0,valve2,1.csv
2020-03-09 16:27:02,0.0,valve2,1.csv
2020-03-09 16:27:03,0.0,valve2,1.csv
2020-03-09 16:27:05,0.0,valve2,1.csv
2020-03-09 16:27:06,0.0,valve2,1.csv
2020-03-09 16:27:07,0.0,valve2,1.csv
2020-03-09 16:27:08,0.0,valve2,1.csv
2020-03-09 16:27:09,0.0,valve2,1.csv
2020-03-09 16:27:10,0.0,valve2,1.csv
2020-03-09 16:27:11,0.0,valve2,1.csv
2020-03-09 16:27:12,0.0,valve2,1.csv
2020-03-09 16:27:13,0.0,valve2,1.csv
2020-03-09 16:27:14,0.0,valve2,1.csv
2020-03-09 16:27:15,0.0,valve2,1.csv
2020-03-09 16:27:16,0.0,valve2,1.csv
2020-03-09 16:27:17,0.0,valve2,1.csv
2020-03-09 16:27:19,0.0,valve2,1.csv
2020-03-09 16:27:20,0.0,valve2,1.csv
2020-03-09 16:27:21,0.0,valve2,1.csv
2020-03-09 16:27:22,0.0,valve2,1.csv
2020-03-09 16:27:23,0.0,valve2,1.csv
2020-03-09 16:27:24,0.0,valve2,1.csv
2020-03-09 16:27:25,0.0,valve2,1.csv
2020-03-09 16:27:26,0.0,valve2,1.csv
2020-03-09 16:27:27,0.0,valve2,1.csv
2020-03-09 16:27:28,0.0,valve2,1.csv
2020-03-09 16:27:29,0.0,valve2,1.csv
2020-03-09 16:27:30,1.0,valve2,1.csv
2020-03-09 16:27:32,0.0,valve2,1.csv
2020-03-09 16:27:33,0.0,valve2,1.csv
2020-03-09 16:27:34,0.0,valve2,1.csv
2020-03-09 16:27:35,0.0,valve2,1.csv
2020-03-09 16:27:36,0.0,valve2,1.csv
2020-03-09 16:27:37,0.0,valve2,1.csv
2020-03-09 16:27:38,0.0,valve2,1.csv
2020-03-09 16:27:39,0.0,valve2,1.csv
2020-03-09 16:27:40,0.0,valve2,1.csv
2020-03-09 16:27:41,0.0,valve2,1.csv
2020-03-09 16:27:42,0.0,valve2,1.csv
2020-03-09 16:27:43,0.0,valve2,1.csv
2020-03-09 16:27:44,0.0,valve2,1.csv
2020-03-09 16:27:45,0.0,valve2,1.csv
2020-03-09 16:27:46,0.0,valve2,1.csv
2020-03-09 16:27:47,0.0,valve2,1.csv
2020-03-09 16:27:48,0.0,valve2,1.csv
2020-03-09 16:27:49,0.0,valve2,1.csv
2020-03-09 16:27:50,0.0,valve2,1.csv
2020-03-09 16:27:51,0.0,valve2,1.csv
2020-03-09 16:27:53,0.0,valve2,1.csv
2020-03-09 16:27:54,0.0,valve2,1.csv
2020-03-09 16:27:55,0.0,valve2,1.csv
2020-03-09 16:27:56,0.0,valve2,1.csv
2020-03-09 16:27:57,0.0,valve2,1.csv
2020-03-09 16:27:58,0.0,valve2,1.csv
2020-03-09 16:27:59,0.0,valve2,1.csv
2020-03-09 16:28:00,0.0,valve2,1.csv
2020-03-09 16:28:01,0.0,valve2,1.csv
2020-03-09 16:28:02,0.0,valve2,1.csv
2020-03-09 16:28:03,0.0,valve2,1.csv
2020-03-09 16:28:04,0.0,valve2,1.csv
2020-03-09 16:28:05,0.0,valve2,1.csv
2020-03-09 16:28:06,0.0,valve2,1.csv
2020-03-09 16:28:07,0.0,valve2,1.csv
2020-03-09 16:28:08,0.0,valve2,1.csv
2020-03-09 16:28:09,0.0,valve2,1.csv
2020-03-09 16:28:10,0.0,valve2,1.csv
2020-03-09 16:28:11,0.0,valve2,1.csv
2020-03-09 16:28:13,0.0,valve2,1.csv
2020-03-09 16:28:14,0.0,valve2,1.csv
2020-03-09 16:28:15,0.0,valve2,1.csv
2020-03-09 16:28:16,0.0,valve2,1.csv
2020-03-09 16:28:17,0.0,valve2,1.csv
2020-03-09 16:28:18,0.0,valve2,1.csv
2020-03-09 16:28:19,0.0,valve2,1.csv
2020-03-09 16:28:20,0.0,valve2,1.csv
2020-03-09 16:28:21,0.0,valve2,1.csv
2020-03-09 16:28:22,0.0,valve2,1.csv
2020-03-09 16:28:23,0.0,valve2,1.csv
2020-03-09 16:28:24,0.0,valve2,1.csv
2020-03-09 16:28:25,0.0,valve2,1.csv
2020-03-09 16:28:26,0.0,valve2,1.csv
2020-03-09 16:28:27,0.0,valve2,1.csv
2020-03-09 16:28:29,0.0,valve2,1.csv
2020-03-09 16:28:30,0.0,valve2,1.csv
2020-03-09 16:28:31,0.0,valve2,1.csv
2020-03-09 16:28:32,0.0,valve2,1.csv
2020-03-09 16:28:33,0.0,valve2,1.csv
2020-03-09 16:28:34,0.0,valve2,1.csv
2020-03-09 16:28:35,0.0,valve2,1.csv
2020-03-09 16:28:36,0.0,valve2,1.csv
2020-03-09 16:28:37,0.0,valve2,1.csv
2020-03-09 16:28:38,0.0,valve2,1.csv
2020-03-09 16:28:39,0.0,valve2,1.csv
2020-03-09 16:28:40,0.0,valve2,1.csv
2020-03-09 16:28:42,0.0,valve2,1.csv
2020-03-09 16:28:43,0.0,valve2,1.csv
2020-03-09 16:28:44,0.0,valve2,1.csv
2020-03-09 16:28:45,0.0,valve2,1.csv
2020-03-09 16:28:46,0.0,valve2,1.csv
2020-03-09 16:28:47,0.0,valve2,1.csv
2020-03-09 16:28:48,0.0,valve2,1.csv
2020-03-09 16:28:49,0.0,valve2,1.csv
2020-03-09 16:28:50,0.0,valve2,1.csv
2020-03-09 16:28:51,0.0,valve2,1.csv
2020-03-09 16:28:52,0.0,valve2,1.csv
2020-03-09 16:28:53,0.0,valve2,1.csv
2020-03-09 16:28:55,0.0,valve2,1.csv
2020-03-09 16:28:56,0.0,valve2,1.csv
2020-03-09 16:28:57,0.0,valve2,1.csv
2020-03-09 16:28:58,0.0,valve2,1.csv
2020-03-09 16:28:59,0.0,valve2,1.csv
2020-03-09 16:29:00,0.0,valve2,1.csv
2020-03-09 16:29:01,0.0,valve2,1.csv
2020-03-09 16:29:02,0.0,valve2,1.csv
2020-03-09 16:29:03,0.0,valve2,1.csv
2020-03-09 16:29:04,0.0,valve2,1.csv
2020-03-09 16:29:05,0.0,valve2,1.csv
2020-03-09 16:29:06,0.0,valve2,1.csv
2020-03-09 16:29:08,0.0,valve2,1.csv
2020-03-09 16:29:09,0.0,valve2,1.csv
2020-03-09 16:29:10,0.0,valve2,1.csv
2020-03-09 16:29:11,0.0,valve2,1.csv
2020-03-09 16:29:12,0.0,valve2,1.csv
2020-03-09 16:29:13,0.0,valve2,1.csv
2020-03-09 16:29:14,0.0,valve2,1.csv
2020-03-09 16:29:15,0.0,valve2,1.csv
2020-03-09 16:29:16,0.0,valve2,1.csv
2020-03-09 16:29:17,0.0,valve2,1.csv
2020-03-09 16:29:18,0.0,valve2,1.csv
2020-03-09 16:29:19,0.0,valve2,1.csv
2020-03-09 16:29:21,0.0,valve2,1.csv
2020-03-09 16:29:22,0.0,valve2,1.csv
2020-03-09 16:29:23,0.0,valve2,1.csv
2020-03-09 16:29:24,0.0,valve2,1.csv
2020-03-09 16:29:25,0.0,valve2,1.csv
2020-03-09 16:29:26,0.0,valve2,1.csv
2020-03-09 16:29:27,0.0,valve2,1.csv
2020-03-09 16:29:28,0.0,valve2,1.csv
2020-03-09 16:29:29,0.0,valve2,1.csv
2020-03-09 16:29:30,0.0,valve2,1.csv
2020-03-09 16:29:31,0.0,valve2,1.csv
2020-03-09 16:29:32,0.0,valve2,1.csv
2020-03-09 16:29:33,0.0,valve2,1.csv
2020-03-09 16:29:35,0.0,valve2,1.csv
2020-03-09 16:29:36,0.0,valve2,1.csv
2020-03-09 16:29:37,0.0,valve2,1.csv
2020-03-09 16:29:38,0.0,valve2,1.csv
2020-03-09 16:29:39,0.0,valve2,1.csv
2020-03-09 16:29:40,0.0,valve2,1.csv
2020-03-09 16:29:41,0.0,valve2,1.csv
2020-03-09 16:29:42,0.0,valve2,1.csv
2020-03-09 16:29:43,0.0,valve2,1.csv
2020-03-09 16:29:44,0.0,valve2,1.csv
2020-03-09 16:29:45,0.0,valve2,1.csv
2020-03-09 16:29:46,0.0,valve2,1.csv
2020-03-09 16:29:47,0.0,valve2,1.csv
2020-03-09 16:29:48,0.0,valve2,1.csv
2020-03-09 16:29:49,0.0,valve2,1.csv
2020-03-09 16:29:50,0.0,valve2,1.csv
2020-03-09 16:29:51,0.0,valve2,1.csv
2020-03-09 16:29:52,0.0,valve2,1.csv
2020-03-09 16:29:53,0.0,valve2,1.csv
2020-03-09 16:29:54,0.0,valve2,1.csv
2020-03-09 16:29:56,0.0,valve2,1.csv
2020-03-09 16:29:57,0.0,valve2,1.csv
2020-03-09 16:29:58,0.0,valve2,1.csv
2020-03-09 16:29:59,0.0,valve2,1.csv
2020-03-09 16:30:00,0.0,valve2,1.csv
2020-03-09 16:30:01,0.0,valve2,1.csv
2020-03-09 16:30:02,0.0,valve2,1.csv
2020-03-09 16:30:03,0.0,valve2,1.csv
2020-03-09 16:30:04,0.0,valve2,1.csv
2020-03-09 16:30:05,0.0,valve2,1.csv
2020-03-09 16:30:06,0.0,valve2,1.csv
2020-03-09 16:30:07,0.0,valve2,1.csv
2020-03-09 16:30:08,0.0,valve2,1.csv
2020-03-09 16:30:09,0.0,valve2,1.csv
2020-03-09 16:30:11,0.0,valve2,1.csv
2020-03-09 16:30:12,0.0,valve2,1.csv
2020-03-09 16:30:13,0.0,valve2,1.csv
2020-03-09 16:30:14,0.0,valve2,1.csv
2020-03-09 16:30:15,0.0,valve2,1.csv
2020-03-09 16:30:16,0.0,valve2,1.csv
2020-03-09 16:30:17,0.0,valve2,1.csv
2020-03-09 16:30:18,0.0,valve2,1.csv
2020-03-09 16:30:19,0.0,valve2,1.csv
2020-03-09 16:30:20,0.0,valve2,1.csv
2020-03-09 16:30:21,0.0,valve2,1.csv
2020-03-09 16:30:22,0.0,valve2,1.csv
2020-03-09 16:30:23,0.0,valve2,1.csv
2020-03-09 16:30:25,0.0,valve2,1.csv
2020-03-09 16:30:26,0.0,valve2,1.csv
2020-03-09 16:30:27,0.0,valve2,1.csv
2020-03-09 16:30:28,0.0,valve2,1.csv
2020-03-09 16:30:29,0.0,valve2,1.csv
2020-03-09 16:30:30,0.0,valve2,1.csv
2020-03-09 16:30:31,0.0,valve2,1.csv
2020-03-09 16:30:32,0.0,valve2,1.csv
2020-03-09 16:30:33,0.0,valve2,1.csv
2020-03-09 16:30:34,0.0,valve2,1.csv
2020-03-09 16:30:35,0.0,valve2,1.csv
2020-03-09 16:30:36,0.0,valve2,1.csv
2020-03-09 16:30:37,0.0,valve2,1.csv
2020-03-09 16:30:39,0.0,valve2,1.csv
2020-03-09 16:30:40,0.0,valve2,1.csv
2020-03-09 16:30:41,0.0,valve2,1.csv
2020-03-09 16:30:42,0.0,valve2,1.csv
2020-03-09 16:30:43,0.0,valve2,1.csv
2020-03-09 16:30:44,0.0,valve2,1.csv
2020-03-09 16:30:45,0.0,valve2,1.csv
2020-03-09 16:30:46,0.0,valve2,1.csv
2020-03-09 16:30:47,0.0,valve2,1.csv
2020-03-09 16:30:48,0.0,valve2,1.csv
2020-03-09 16:30:49,0.0,valve2,1.csv
2020-03-09 16:30:50,0.0,valve2,1.csv
2020-03-09 16:30:52,0.0,valve2,1.csv
2020-03-09 16:30:53,0.0,valve2,1.csv
2020-03-09 16:30:54,0.0,valve2,1.csv
2020-03-09 16:30:55,0.0,valve2,1.csv
2020-03-09 16:30:56,0.0,valve2,1.csv
2020-03-09 16:30:57,0.0,valve2,1.csv
2020-03-09 16:30:58,0.0,valve2,1.csv
2020-03-09 16:30:59,0.0,valve2,1.csv
2020-03-09 16:31:00,0.0,valve2,1.csv
2020-03-09 16:31:01,0.0,valve2,1.csv
2020-03-09 16:31:02,0.0,valve2,1.csv
2020-03-09 16:31:03,0.0,valve2,1.csv
2020-03-09 16:31:05,0.0,valve2,1.csv
2020-03-09 16:31:06,0.0,valve2,1.csv
2020-03-09 16:31:07,0.0,valve2,1.csv
2020-03-09 16:31:08,0.0,valve2,1.csv
2020-03-09 16:31:09,0.0,valve2,1.csv
2020-03-09 16:31:10,0.0,valve2,1.csv
2020-03-09 16:31:11,0.0,valve2,1.csv
2020-03-09 16:31:12,0.0,valve2,1.csv
2020-03-09 16:31:13,0.0,valve2,1.csv
2020-03-09 16:31:14,0.0,valve2,1.csv
2020-03-09 16:31:15,0.0,valve2,1.csv
2020-03-09 16:31:16,0.0,valve2,1.csv
2020-03-09 16:31:18,0.0,valve2,1.csv
2020-03-09 16:31:19,0.0,valve2,1.csv
2020-03-09 16:31:20,0.0,valve2,1.csv
2020-03-09 16:31:21,0.0,valve2,1.csv
2020-03-09 16:31:22,0.0,valve2,1.csv
2020-03-09 16:31:23,0.0,valve2,1.csv
2020-03-09 16:31:24,0.0,valve2,1.csv
2020-03-09 16:31:26,0.0,valve2,1.csv
2020-03-09 16:31:27,0.0,valve2,1.csv
2020-03-09 16:31:28,0.0,valve2,1.csv
2020-03-09 16:32:32,1.0,valve2,1.csv
2020-03-09 16:32:33,0.0,valve2,1.csv
2020-03-09 16:32:34,0.0,valve2,1.csv
2020-03-09 16:32:35,0.0,valve2,1.csv
2020-03-09 16:32:36,0.0,valve2,1.csv
2020-03-09 16:32:37,0.0,valve2,1.csv
2020-03-09 16:32:38,0.0,valve2,1.csv
2020-03-09 16:32:39,0.0,valve2,1.csv
2020-03-09 16:32:40,0.0,valve2,1.csv
2020-03-09 16:32:41,0.0,valve2,1.csv
2020-03-09 16:32:42,0.0,valve2,1.csv
2020-03-09 16:32:43,0.0,valve2,1.csv
2020-03-09 16:32:44,0.0,valve2,1.csv
2020-03-09 16:32:45,0.0,valve2,1.csv
2020-03-09 16:32:46,0.0,valve2,1.csv
2020-03-09 16:32:48,0.0,valve2,1.csv
2020-03-09 16:32:49,0.0,valve2,1.csv
2020-03-09 16:32:50,0.0,valve2,1.csv
2020-03-09 16:32:51,0.0,valve2,1.csv
2020-03-09 16:32:52,0.0,valve2,1.csv
2020-03-09 16:32:53,0.0,valve2,1.csv
2020-03-09 16:32:54,0.0,valve2,1.csv
2020-03-09 16:32:55,0.0,valve2,1.csv
2020-03-09 16:32:56,0.0,valve2,1.csv
2020-03-09 16:32:57,0.0,valve2,1.csv
2020-03-09 16:32:59,0.0,valve2,1.csv
2020-03-09 16:33:00,0.0,valve2,1.csv
2020-03-09 16:33:01,0.0,valve2,1.csv
